system:time_start,NDVI
"Feb 18, 2000",0.288
"Mar 5, 2000",0.295
"Mar 21, 2000",0.295
"Apr 6, 2000",0.394
"Apr 22, 2000",0.634
"May 8, 2000",0.648
"May 24, 2000",0.65
"Jun 9, 2000",0.532
"Jun 25, 2000",0.512
"Jul 11, 2000",0.498
"Jul 27, 2000",0.496
"Aug 12, 2000",0.384
"Aug 28, 2000",0.456
"Sep 13, 2000",0.509
"Sep 29, 2000",0.496
"Oct 15, 2000",0.452
"Oct 31, 2000",0.423
"Nov 16, 2000",0.423
"Dec 2, 2000",0.469
"Dec 18, 2000",0.428
"Jan 1, 2001",0.417
"Jan 17, 2001",0.378
"Feb 2, 2001",0.372
"Feb 18, 2001",0.339
"Mar 6, 2001",0.415
"Mar 22, 2001",0.443
"Apr 7, 2001",0.507
"Apr 23, 2001",0.791
"May 9, 2001",0.795
"May 25, 2001",0.831
"Jun 10, 2001",0.768
"Jun 26, 2001",0.454
"Jul 12, 2001",0.409
"Jul 28, 2001",0.354
"Aug 13, 2001",0.31
"Aug 29, 2001",0.284
"Sep 14, 2001",0.268
"Sep 30, 2001",0.327
"Oct 16, 2001",0.362
"Nov 1, 2001",0.397
"Nov 17, 2001",0.346
"Dec 3, 2001",0.376
"Dec 19, 2001",-0.035
"Jan 1, 2002",-0.01
"Jan 17, 2002",0.161
"Feb 2, 2002",0.337
"Feb 18, 2002",0.369
"Mar 6, 2002",0.398
"Mar 22, 2002",0.45
"Apr 7, 2002",0.618
"Apr 23, 2002",0.683
"May 9, 2002",0.702
"May 25, 2002",0.705
"Jun 10, 2002",0.641
"Jun 26, 2002",0.498
"Jul 12, 2002",0.367
"Jul 28, 2002",0.395
"Aug 13, 2002",0.45
"Aug 29, 2002",0.429
"Sep 14, 2002",0.425
"Sep 30, 2002",0.424
"Oct 16, 2002",0.48
"Nov 1, 2002",0.49
"Nov 17, 2002",0.467
"Dec 3, 2002",0.395
"Dec 19, 2002",0.305
"Jan 1, 2003",0.211
"Jan 17, 2003",0.128
"Feb 2, 2003",-0.007
"Feb 18, 2003",-0
"Mar 6, 2003",0.204
"Mar 22, 2003",0.197
"Apr 7, 2003",0.223
"Apr 23, 2003",0.35
"May 9, 2003",0.498
"May 25, 2003",0.518
"Jun 10, 2003",0.492
"Jun 26, 2003",0.496
"Jul 12, 2003",0.639
"Jul 28, 2003",0.631
"Aug 13, 2003",0.651
"Aug 29, 2003",0.541
"Sep 14, 2003",0.42
"Sep 30, 2003",0.404
"Oct 16, 2003",0.38
"Nov 1, 2003",0.298
"Nov 17, 2003",0.39
"Dec 3, 2003",0.385
"Dec 19, 2003",0.315
"Jan 1, 2004",0.315
"Jan 17, 2004",0.36
"Feb 2, 2004",0.326
"Feb 18, 2004",0.04
"Mar 5, 2004",0.285
"Mar 21, 2004",0.333
"Apr 6, 2004",0.491
"Apr 22, 2004",0.604
"May 8, 2004",0.686
"May 24, 2004",0.715
"Jun 9, 2004",0.664
"Jun 25, 2004",0.606
"Jul 11, 2004",0.52
"Jul 27, 2004",0.483
"Aug 12, 2004",0.597
"Aug 28, 2004",0.584
"Sep 13, 2004",0.534
"Sep 29, 2004",0.503
"Oct 15, 2004",0.399
"Oct 31, 2004",0.451
"Nov 16, 2004",0.3
"Dec 2, 2004",0.403
"Dec 18, 2004",0.385
"Jan 1, 2005",0.362
"Jan 17, 2005",0.326
"Feb 2, 2005",0.036
"Feb 18, 2005",0.278
"Mar 6, 2005",0.275
"Mar 22, 2005",0.241
"Apr 7, 2005",0.449
"Apr 23, 2005",0.504
"May 9, 2005",0.66
"May 25, 2005",0.664
"Jun 10, 2005",0.622
"Jun 26, 2005",0.598
"Jul 12, 2005",0.621
"Jul 28, 2005",0.652
"Aug 13, 2005",0.54
"Aug 29, 2005",0.463
"Sep 14, 2005",0.392
"Sep 30, 2005",0.333
"Oct 16, 2005",0.309
"Nov 1, 2005",0.273
"Nov 17, 2005",0.288
"Dec 3, 2005",0.28
"Dec 19, 2005",0.293
"Jan 1, 2006",0.263
"Jan 17, 2006",0
"Feb 2, 2006",-0.016
"Feb 18, 2006",0.038
"Mar 6, 2006",0.238
"Mar 22, 2006",0.246
"Apr 7, 2006",0.396
"Apr 23, 2006",0.541
"May 9, 2006",0.63
"May 25, 2006",0.658
"Jun 10, 2006",0.716
"Jun 26, 2006",0.669
"Jul 12, 2006",0.592
"Jul 28, 2006",0.533
"Aug 13, 2006",0.438
"Aug 29, 2006",0.4
"Sep 14, 2006",0.367
"Sep 30, 2006",0.35
"Oct 16, 2006",0.323
"Nov 1, 2006",0.293
"Nov 17, 2006",0.261
"Dec 3, 2006",0.258
"Dec 19, 2006",0.192
"Jan 1, 2007",0.284
"Jan 17, 2007",0.275
"Feb 2, 2007",0.259
"Feb 18, 2007",0.27
"Mar 6, 2007",0.251
"Mar 22, 2007",0.279
"Apr 7, 2007",0.343
"Apr 23, 2007",0.577
"May 9, 2007",0.625
"May 25, 2007",0.601
"Jun 10, 2007",0.53
"Jun 26, 2007",0.449
"Jul 12, 2007",0.411
"Jul 28, 2007",0.362
"Aug 13, 2007",0.305
"Aug 29, 2007",0.301
"Sep 14, 2007",0.333
"Sep 30, 2007",0.354
"Oct 16, 2007",0.347
"Nov 1, 2007",0.427
"Nov 17, 2007",0.41
"Dec 3, 2007",0.42
"Dec 19, 2007",0.342
"Jan 1, 2008",0.313
"Jan 17, 2008",0.308
"Feb 2, 2008",0.257
"Feb 18, 2008",0.252
"Mar 5, 2008",0.258
"Mar 21, 2008",0.206
"Apr 6, 2008",0.549
"Apr 22, 2008",0.705
"May 8, 2008",0.757
"May 24, 2008",0.719
"Jun 9, 2008",0.632
"Jun 25, 2008",0.549
"Jul 11, 2008",0.528
"Jul 27, 2008",0.513
"Aug 12, 2008",0.436
"Aug 28, 2008",0.325
"Sep 13, 2008",0.321
"Sep 29, 2008",0.353
"Oct 15, 2008",0.412
"Oct 31, 2008",0.419
"Nov 16, 2008",0.41
"Dec 2, 2008",0.414
"Dec 18, 2008",0.21
"Jan 1, 2009",-0.025
"Jan 17, 2009",0.202
"Feb 2, 2009",0.388
"Feb 18, 2009",0.357
"Mar 6, 2009",0.403
"Mar 22, 2009",0.41
"Apr 7, 2009",0.501
"Apr 23, 2009",0.519
"May 9, 2009",0.672
"May 25, 2009",0.688
"Jun 10, 2009",0.595
"Jun 26, 2009",0.427
"Jul 12, 2009",0.375
"Jul 28, 2009",0.386
"Aug 13, 2009",0.346
"Aug 29, 2009",0.302
"Sep 14, 2009",0.318
"Sep 30, 2009",0.367
"Oct 16, 2009",0.478
"Nov 1, 2009",0.468
"Nov 17, 2009",0.491
"Dec 3, 2009",0.52
"Dec 19, 2009",0.465
"Jan 1, 2010",0.466
"Jan 17, 2010",0.017
"Feb 2, 2010",0.295
"Feb 18, 2010",0.336
"Mar 6, 2010",0.371
"Mar 22, 2010",0.366
"Apr 7, 2010",0.55
"Apr 23, 2010",0.624
"May 9, 2010",0.693
"May 25, 2010",0.66
"Jun 10, 2010",0.536
"Jun 26, 2010",0.592
"Jul 12, 2010",0.578
"Jul 28, 2010",0.429
"Aug 13, 2010",0.34
"Aug 29, 2010",0.338
"Sep 14, 2010",0.269
"Sep 30, 2010",0.229
"Oct 16, 2010",0.273
"Nov 1, 2010",0.317
"Nov 17, 2010",0.424
"Dec 3, 2010",0.106
"Dec 19, 2010",0.398
"Jan 1, 2011",0.415
"Jan 17, 2011",0.024
"Feb 2, 2011",0.412
"Feb 18, 2011",0.284
"Mar 6, 2011",0.271
"Mar 22, 2011",0.292
"Apr 7, 2011",0.384
"Apr 23, 2011",0.498
"May 9, 2011",0.744
"May 25, 2011",0.765
"Jun 10, 2011",0.754
"Jun 26, 2011",0.611
"Jul 12, 2011",0.498
"Jul 28, 2011",0.421
"Aug 13, 2011",0.371
"Aug 29, 2011",0.359
"Sep 14, 2011",0.343
"Sep 30, 2011",0.355
"Oct 16, 2011",0.363
"Nov 1, 2011",0.364
"Nov 17, 2011",0.334
"Dec 3, 2011",0.36
"Dec 19, 2011",0.317
"Jan 1, 2012",0.271
"Jan 17, 2012",0.007
"Feb 2, 2012",0.016
"Feb 18, 2012",-0.02
"Mar 5, 2012",0.158
"Mar 21, 2012",0.28
"Apr 6, 2012",0.355
"Apr 22, 2012",0.491
"May 8, 2012",0.547
"May 24, 2012",0.71
"Jun 9, 2012",0.657
"Jun 25, 2012",0.565
"Jul 11, 2012",0.452
"Jul 27, 2012",0.327
"Aug 12, 2012",0.332
"Aug 28, 2012",0.315
"Sep 13, 2012",0.261
"Sep 29, 2012",0.26
"Oct 15, 2012",0.245
"Oct 31, 2012",0.246
"Nov 16, 2012",0.221
"Dec 2, 2012",0.255
"Dec 18, 2012",0.291
"Jan 1, 2013",0.276
"Jan 17, 2013",0.052
"Feb 2, 2013",0.218
"Feb 18, 2013",0.23
"Mar 6, 2013",0.277
"Mar 22, 2013",0.246
"Apr 7, 2013",0.421
"Apr 23, 2013",0.604
"May 9, 2013",0.673
"May 25, 2013",0.673
"Jun 10, 2013",0.619
"Jun 26, 2013",0.475
"Jul 12, 2013",0.338
"Jul 28, 2013",0.295
"Aug 13, 2013",0.245
"Aug 29, 2013",0.246
"Sep 14, 2013",0.296
"Sep 30, 2013",0.328
"Oct 16, 2013",0.375
"Nov 1, 2013",0.507
"Nov 17, 2013",0.51
"Dec 3, 2013",0.543
"Dec 19, 2013",0.512
"Jan 1, 2014",0.522
"Jan 17, 2014",0.012
"Feb 2, 2014",0.355
"Feb 18, 2014",0.436
"Mar 6, 2014",0.414
"Mar 22, 2014",0.502
"Apr 7, 2014",0.601
"Apr 23, 2014",0.748
"May 9, 2014",0.753
"May 25, 2014",0.72
"Jun 10, 2014",0.51
"Jun 26, 2014",0.44
"Jul 12, 2014",0.381
"Jul 28, 2014",0.298
"Aug 13, 2014",0.246
"Aug 29, 2014",0.233
"Sep 14, 2014",0.235
"Sep 30, 2014",0.255
"Oct 16, 2014",0.316
"Nov 1, 2014",0.311
"Nov 17, 2014",0.38
"Dec 3, 2014",0.317
"Dec 19, 2014",0.363
"Jan 1, 2015",0.377
"Jan 17, 2015",0.287
"Feb 2, 2015",0.403
"Feb 18, 2015",0.354
"Mar 6, 2015",0.342
"Mar 22, 2015",0.483
"Apr 7, 2015",0.612
"Apr 23, 2015",0.647
"May 9, 2015",0.78
"May 25, 2015",0.733
"Jun 10, 2015",0.657
"Jun 26, 2015",0.444
"Jul 12, 2015",0.439
"Jul 28, 2015",0.353
"Aug 13, 2015",0.287
"Aug 29, 2015",0.27
"Sep 14, 2015",0.248
"Sep 30, 2015",0.224
"Oct 16, 2015",0.228
"Nov 1, 2015",0.229
"Nov 17, 2015",0.389
"Dec 3, 2015",0.339
"Dec 19, 2015",0.328
"Jan 1, 2016",0.085
"Jan 17, 2016",0.35
"Feb 2, 2016",0.349
"Feb 18, 2016",0.328
"Mar 5, 2016",0.395
"Mar 21, 2016",0.466
"Apr 6, 2016",0.511
"Apr 22, 2016",0.716
"May 8, 2016",0.765
"May 24, 2016",0.761
"Jun 9, 2016",0.738
"Jun 25, 2016",0.537
"Jul 11, 2016",0.441
"Jul 27, 2016",0.334
"Aug 12, 2016",0.259
"Aug 28, 2016",0.246
"Sep 13, 2016",0.233
"Sep 29, 2016",0.294
"Oct 15, 2016",0.295
"Oct 31, 2016",0.311
"Nov 16, 2016",0.322
"Dec 2, 2016",0.097
"Dec 18, 2016",-0.007
"Jan 1, 2017",0.228
"Jan 17, 2017",0.283
"Feb 2, 2017",0.102
"Feb 18, 2017",0.242
"Mar 6, 2017",0.267
"Mar 22, 2017",0.346
"Apr 7, 2017",0.514
"Apr 23, 2017",0.622
"May 9, 2017",0.721
"May 25, 2017",0.78
"Jun 10, 2017",0.735
"Jun 26, 2017",0.521
"Jul 12, 2017",0.407
"Jul 28, 2017",0.314
"Aug 13, 2017",0.249
"Aug 29, 2017",0.247
"Sep 14, 2017",0.246
"Sep 30, 2017",0.246
"Oct 16, 2017",0.153
"Nov 1, 2017",0.286
"Nov 17, 2017",0.297
"Dec 3, 2017",0.403
"Dec 19, 2017",0.443
"Jan 1, 2018",0.453
"Jan 17, 2018",0.26
"Feb 2, 2018",0.396
"Feb 18, 2018",0.37
"Mar 6, 2018",0.337
"Mar 22, 2018",0.398
"Apr 7, 2018",0.579
"Apr 23, 2018",0.707
"May 9, 2018",0.737
"May 25, 2018",0.699
"Jun 10, 2018",0.45
"Jun 26, 2018",0.352
"Jul 12, 2018",0.275
"Jul 28, 2018",0.255
"Aug 13, 2018",0.218
"Aug 29, 2018",0.218
"Sep 14, 2018",0.282
"Sep 30, 2018",0.343
"Oct 16, 2018",0.428
"Nov 1, 2018",0.492
"Nov 17, 2018",0.487
"Dec 3, 2018",0.505
"Dec 19, 2018",0.02
"Jan 1, 2019",0.006
"Jan 17, 2019",0.377
"Feb 2, 2019",0.455
"Feb 18, 2019",0.451
"Mar 6, 2019",0.499
"Mar 22, 2019",0.522
"Apr 7, 2019",0.65
"Apr 23, 2019",0.7
"May 9, 2019",0.799
"May 25, 2019",0.807
"Jun 10, 2019",0.611
"Jun 26, 2019",0.421
"Jul 12, 2019",0.357
"Jul 28, 2019",0.377
"Aug 13, 2019",0.34
"Aug 29, 2019",0.268
"Sep 14, 2019",0.263
"Sep 30, 2019",0.267
"Oct 16, 2019",0.247
"Nov 1, 2019",0.242
"Nov 17, 2019",0.266
"Dec 3, 2019",0.318
"Dec 19, 2019",0.215
"Jan 1, 2020",0.32
"Jan 17, 2020",0.301
"Feb 2, 2020",0.3
"Feb 18, 2020",0.299
"Mar 5, 2020",0.358
"Mar 21, 2020",0.448
"Apr 6, 2020",0.518
"Apr 22, 2020",0.662
"May 8, 2020",0.72
"May 24, 2020",0.758
"Jun 9, 2020",0.593
"Jun 25, 2020",0.413
"Jul 11, 2020",0.339
"Jul 27, 2020",0.273
"Aug 12, 2020",0.244
"Aug 28, 2020",0.233
"Sep 13, 2020",0.212
"Sep 29, 2020",0.208
"Oct 15, 2020",0.209
"Oct 31, 2020",0.334
"Nov 16, 2020",0.332
"Dec 2, 2020",0.343
"Dec 18, 2020",0.351
"Jan 1, 2021",0.35
"Jan 17, 2021",0.095
"Feb 2, 2021",0.312
"Feb 18, 2021",0.34
"Mar 6, 2021",0.306
"Mar 22, 2021",0.381
"Apr 7, 2021",0.581
"Apr 23, 2021",0.673
"May 9, 2021",0.765
"May 25, 2021",0.806
"Jun 10, 2021",0.673
"Jun 26, 2021",0.568
"Jul 12, 2021",0.464
"Jul 28, 2021",0.403
"Aug 13, 2021",0.372
"Aug 29, 2021",0.409
"Sep 14, 2021",0.35
"Sep 30, 2021",0.319
"Oct 16, 2021",0.312
"Nov 1, 2021",0.371
"Nov 17, 2021",0.418
"Dec 3, 2021",0.425
"Dec 19, 2021",0.442
"Jan 1, 2022",0.417
"Jan 17, 2022",0.23
"Feb 2, 2022",0.378
"Feb 18, 2022",0.448
"Mar 6, 2022",0.37
"Mar 22, 2022",0.47
"Apr 7, 2022",0.482
"Apr 23, 2022",0.716
"May 9, 2022",0.793
"May 25, 2022",0.789
"Jun 10, 2022",0.725
"Jun 26, 2022",0.435
"Jul 12, 2022",0.408
"Jul 28, 2022",0.381
"Aug 13, 2022",0.311
"Aug 29, 2022",0.272
"Sep 14, 2022",0.248
"Sep 30, 2022",0.26
"Oct 16, 2022",0.031
"Nov 1, 2022",0.383
"Nov 17, 2022",0.393
"Dec 3, 2022",0.421
"Dec 19, 2022",0.48
"Jan 1, 2023",0.438
"Jan 17, 2023",0.389
"Feb 2, 2023",0.285
"Feb 18, 2023",0.316
"Mar 6, 2023",0.336
"Mar 22, 2023",0.546
"Apr 7, 2023",0.638
"Apr 23, 2023",0.787
"May 9, 2023",0.819
"May 25, 2023",0.732
"Jun 10, 2023",0.656
"Jun 26, 2023",0.447
"Jul 12, 2023",0.449
"Jul 28, 2023",0.413
"Aug 13, 2023",0.366
"Aug 29, 2023",0.29
"Sep 14, 2023",0.343
"Sep 30, 2023",0.339
"Oct 16, 2023",0.348
"Nov 1, 2023",0.501
"Nov 17, 2023",0.532
